loja,mercado,idioma,moeda,mes,data_envio,campanha,papel,segmento_ampliado,modelo,estrutura,altura_px,desconto_pct,envios,aberturas,cliques,pedidos,receita,descadastros,spam,abertura_pct,clique_pct,clique_em_pedido_pct,receita_por_mil_envios,indice,descadastro_pct
Brinque Mais,Brasil,pt,BRL,jul,07/07 18h,"7.7, 3, última chamada (saiu às 11h)",pico 18h,sim,,,,,26999,3864,87,2,327.57,48,1,14.3,0.32,2.3,12.1,0.22,0.18
Brinque Mais,Brasil,pt,BRL,jul,15/07,Favoritos do 7.7,ressaca,sim,,,,,28178,4032,134,2,518.68,46,5,14.3,0.48,1.5,18.4,0.34,0.16
Brinque Mais,Brasil,pt,BRL,jul,18/07,Final da Copa,tematica,sim,,,,,28642,4133,163,4,725.58,34,6,14.4,0.57,2.5,25.3,0.47,0.12
Brinque Mais,Brasil,pt,BRL,jul,20/07,Revele seu desconto,gamificada,sim,,,,,29039,4085,140,4,725.79,46,3,14.1,0.48,2.9,25.0,0.46,0.16
Brinque Mais,Brasil,pt,BRL,jul,22/07,Jornal,notificacao,sim,,,,,29425,4199,157,7,1830.59,45,0,14.3,0.53,4.5,62.2,1.15,0.15
Brinque Mais,Brasil,pt,BRL,jul,24/07,Ligação,notificacao,sim,,,,,29818,4254,150,2,437.79,44,2,14.3,0.5,1.3,14.7,0.27,0.15
Brinque Mais,Brasil,pt,BRL,jul,25/07,Reabertura,ressaca,sim,,,,,29972,4181,125,6,1382.32,30,1,13.9,0.42,4.8,46.1,0.85,0.1
Brinque Mais,Brasil,pt,BRL,jul,27/07,Segunda da sorte,gamificada,sim,,,,,30357,4175,147,5,1637.88,48,3,13.8,0.48,3.4,54.0,0.99,0.16
Brinque Mais,Brasil,pt,BRL,jul,29/07,UGC Dia dos Pais,prova,sim,,,,,30646,4161,66,5,925.0,21,0,13.6,0.22,7.6,30.2,0.56,0.07
Brinque Mais,Brasil,pt,BRL,jul,31/07,Sexta premiada,gamificada,sim,,,,,30994,4294,127,13,2270.28,16,1,13.9,0.41,10.2,73.2,1.35,0.05
Brinque Mais,Brasil,pt,BRL,ago,03/08,"Esquenta 8.8, 1",antecipacao,sim,,,,,31658,4277,107,3,486.79,36,2,13.5,0.34,2.8,15.4,0.28,0.11
Brinque Mais,Brasil,pt,BRL,ago,05/08,"Esquenta 8.8, 2, bom motivo",antecipacao,sim,,,,,32134,4442,140,2,377.58,44,3,13.8,0.44,1.4,11.8,0.22,0.14
